kod;kepekszama
T1;5
T2;0
T3;8
T4;5
T5;3
T6;0
T6-1;0
T6-2;0
T6-3;0
T6-4;0
T6-5;0
T7;10
T8;7
T9;1
T10;8
T11;6
T12;5
T13;2
T14;4
T15;0
