kod;szak
T1;Szoftverfejlesztõ
T2;Gépgyártástechnológiai technikus
T3;Mechatronikai technikus
G1;Képzõ-és iparmûvészeti munkatárs szakképesítés
SZ1;Asztalos
T4;Automatikai technikus
SZ2;Mechatronikus karbantartó
SZ3;Hegesztõ
