kod;nev;cim1;text1;cim2;text2;cim3;text3;cim4;text4;n
MS;Makerspace;A technológia tehát megvan, de önmagában ez még kevés;        A Makerspace igazi erejét és újdonságát az alkalmazott módszer adja: találó néven alkotópedagógiának nevezik az itt uralkodó szemléletet. Gyakorlatilag egy egységbe foglaljuk mindazt, amit a diáknak a világ reánk eső részéről tudnia kell. A foglalkozást elindító kerettörténetben nem elvégzendő feladatot, hanem egy témát és a hozzá kapcsolódó célt jelöljük meg, a kettő közti út megtételét pedig minden lehetséges eszközzel segítjük, folyamatos támogatást adva a felmerülő kérdések megválaszolásához. A diákok így nem tanulnak és dolgoznak ezekben a projektekben, hanem kutatnak, kísérleteznek, ötletelnek, tanácskoznak, döntenek és a saját elképzeléseiket valósítják meg.  ;Pályaorientációs cél;Az általános iskolás, „leendő kandós” diákok számára pár órás, egyértelműen pályaorientációs célú foglalkozásokat tartunk, melynek során beleláthatnak az általunk oktatott szakmákba, szakmai, de mégis játékos feladatokon keresztül több különféle szakterület alapvető eszközeivel ismerkednek meg, ezzel segítve a későbbi pályaválasztásukat.;Pálya szocializáció;A Kandóban tanuló diákok számára szervezünk szakma szocializációs projektnapokat, ahol a szakmák kapcsolódási pontjaira és a már tanult szakmájuk kevésbé hangsúlyos, ám annál érdekesebb részterületeire tereljük őket, egyfajta kedvcsinálóként a további tanulmányokhoz. Szintén cél, hogy közvetlen támogatást nyújtsunk a szakmai oktatáshoz, kreatív feladatokkal kiegészítve, elmélyítve a már megszerzett tudásukat.;Makerspace a Kandóban;Nincs két egyforma foglalkozás, nem készül két egyforma munkadarab, de mindenki néhány ismerettel és élménnyel gazdagodva léphet ki a műhely ajtaján, ahol a Kandó eltelt 50 évének iparos hagyományaival és a jelenkor digitális technikáinak legjavával felvértezve indulhat neki – egy következő 50 évnek.;1
SE;SHELL ECO-marathon;SHELL ECO…cim1;SHELL ECO…szoveg1;SHELL ECO…cim2;SHELL ECO…szoveg2;SHELL ECO…cím3;SHELL ECO…szoveg3;SHELL ECO…cim4;SHELL ECO…szoveg4;1
